sta_code,sku_code,长(CM),宽(CM),高(CM),qty
ODO1694023190115229,DH5750-536,28,22.5,1.4,1
ODO1694023190115229,DZ2785-101,25.2,18.6,9.4,1
ODO1694011853540326,DR6091-078,13,10.4,3.8,1
ODO1694011853540326,DX2294-400,31,21.6,11.4,1
ODO169401581164612,CQ4298-010,27.5,21,3.5,1
ODO169401581164612,FV2705-100,9.5,6,3.3,1
ODO169401581164612,FB2355-001,23.2,17.9,12,1
ODO1694277049410731,CU6776-010,35.5,28.5,2.8,1
ODO1694277049410731,CZ2959-400,30.8,19.8,11.5,1
ODO1694277049410731,CZ2959-400,30.8,19.8,11.5,1
ODO1694282450055310,AR6030-100,39,28,1.4,1
ODO1694282450055310,DM0822-101,35,23.2,11.4,1
TBNK2309104492,DA2123-010,52,24,7.6,1
TBNK2309104492,DR8786-001,34.5,23.3,12.3,2
TBNK2309147705,DD1206-100,37,20,1.8,1
TBNK2309147705,DH3393-300,33.5,20.8,11.7,1
TBNK2309147705,FB7179-001,31.8,23,12,1
TBNK2309339444,DB0490-010,41.5,15,2,2
TBNK2309339444,FB3354-001,33.2,20.8,11.5,2
ODO1694008978234276,DH8922-010,10.4,7,3.4,1
ODO1694008978234276,DX5567-800,36,26.8,12,1
ODO1694283169518279,CU6776-010,34,28,2.8,1
ODO1694283169518279,FB3354-001,32.5,20.9,14,1
ODO1694283169518279,FB3354-001,33.2,20.8,11.5,1
TBBJ2309019337,HA5507-100,37.8,13.2,4.4,9
TBBJ2309019337,553560-113,30,21.4,11.6,3
TBNK2309229695,SX7676-100,35.2,26.7,6.2,1
TBNK2309229695,DX9176-102,29.6,21.8,10.6,1
TBNK2309246856,DN3592-010,49,40,5.9,1
TBNK2309246856,DV0788-101,34.2,23.4,12,2
TBNK2309340306,DD1914-010,28,22,0.6,1
TBNK2309340306,DH3392-100,34.8,23.8,12.6,2
ODO1694258150407244,BV2667-063,37.5,29.6,2.3,1
ODO1694258150407244,FB3354-001,33,21,11.5,1
ODO1694258150407244,BV2667-063,37.5,29.6,2.3,1
TBNK2309113479,DQ5819-010,38,29,3.6,1
TBNK2309113479,DC3728-003,34.5,23.3,12.3,1
TBNK2309113479,FJ1049-100,33.6,24,12,1
TBBN2309023357,FD3019-063,28.5,23.8,4,1
TBBN2309023357,DH9394-101,26.8,20.2,10,1
ODO1694012632244975,DX5074-911,32,28.5,7.6,1
ODO1694012632244975,FN3430-180,35.2,24.2,13,1
TBBJ2309019308,HA5507-100,37.8,13.2,4.4,9
TBBJ2309019308,553560-113,30,21.4,11.6,3
TBNK2309152533,SX7676-010,29.8,22,10,1
TBNK2309152533,FJ2949-001,35.4,23.6,12.4,1
TBNK2309252178,DQ4817-010,26.5,20.8,5,1
TBNK2309252178,DM4625-010,27,18.2,1,1
TBNK2309252178,DQ6400-300,35,23,12,1
TBNK2309337043,SX7677-100,30.5,28.5,7.8,1
TBNK2309337043,DR2695-002,34.1,20.1,14.9,1
ODO1694026010114799,FD3019-010,26.4,22.3,4,1
ODO1694026010114799,DV8999-003,27.7,22.5,16.6,1
ODO1694026010114799,FD0844-100,24.6,24.4,8.7,1
ODO1694026010114799,FJ7237-324,31.5,25.8,2,1
ODO1694026010114799,FD3019-063,27.8,27.4,4,1
ODO1694009092791229,DB0490-010,41.5,15,2,1
ODO1694009092791229,DV4022-003,36,23.5,12.3,1
ODO1694009092791229,DV4022-003,36,23.5,12.3,1
ODO1694009092791229,DV4022-003,36,23.5,12.3,1
ODO1694009209374530,SX7676-100,35.2,26.7,6.2,1
ODO1694009209374530,DM2845-100,33.3,20.5,11.1,1
ODO1694009270542360,FB3272-838,26,24,6,1
ODO1694009270542360,FJ4553-133,29,18.5,10.5,1
ODO1694274290762118,DR6127-309,28,17,5,1
ODO1694274290762118,FQ0355-100,39,28,0.5,1
ODO1694274290762118,FN7272-100,38.4,31,2.3,1
ODO1694274290762118,DV3970-914,26,13.2,6.6,1
ODO1694274290762118,DR8786-800,36.3,24.1,12.6,1
ODO1694274290762118,FQ0352-480,30.7,27.4,4,1
ODO1694274290762118,FQ0352-010,30.5,28.2,4,1
ODO1694274290762118,DV9475-100,29,22,4,1
ODO1694274290762118,FN7480-901,22.6,18.1,4,1
ODO1694274290762118,FB6929-367,31.9,24.4,4,1
ODO1694274290762118,DH4058-302,30,23.5,5,1
ODO1694274290762118,FN7480-901,22.6,18.1,4,1
ODO1694274290762118,FN7480-901,22.6,18.1,4,1
TBBJ2309022658,FV1133-621,39,29,1.1,1
TBBJ2309022658,532225-017,30.2,16.2,12.4,1
TBBJ2309022658,DZ7314-134,40,30,1.2,1
TBBJ2309022658,DZ7314-091,8.5,12,3.2,1
TBBJ2309022658,DZ0605-425,39,29,1.1,1
TBNK2309127646,DV9858-068,36,30,1,1
TBNK2309127646,AR4999-410,30,21,0.5,1
TBNK2309127646,DV1741-181,30.8,19.8,11.2,1
TBNK2309127646,DH8922-425,27.5,24,1.8,1
TBNK2309127646,FN3115-600,41,30,1,1
TBNK2309127646,DD0627-010,51.8,41.9,6.7,1
TBNK2309162881,DB9976-100,38,29,1,1
TBNK2309162881,DX3337-010,34,28,2.7,1
TBNK2309162881,FN4292-100,30.7,18.3,12.6,1
TBNK2309162881,DB9976-010,38,29,1,1
ODO1694009931070576,DV1296-010,50,39,4,1
ODO1694009931070576,DV1296-010,50,39,4,1
ODO1694009931070576,FB1394-101,30.5,21,11.5,1
ODO1694159569687919,FB6530-227,27.8,23.5,5.7,1
ODO1694159569687919,BV1358-002,31.6,21.2,15.6,1
ODO1694274229633892,BV2663-479,38,27,4.4,1
ODO1694274229633892,BV2663-479,38,27,4.4,1
ODO1694274229633892,DJ3624-002,34.5,23.3,12.3,1
ODO1694274229633892,BV2663-479,38,27,4.4,1
ODO1694269010145239,DV6246-010,45.1,36.1,9.9,1
ODO1694269010145239,DV6246-010,45.1,36.1,9.9,1
ODO1694269010145239,FN3430-180,35.2,24.2,13,1
TBBJ2309031712,HA5507-100,37.8,13.2,4.4,9
TBBJ2309031712,553560-113,30,21.4,11.6,3
TBNK2309256502,SX4120-001,30.2,26.2,7.2,1
TBNK2309256502,FN8927-621,29.9,19.6,12,1
TBNK2309256502,FB5368-681,13.7,8.7,4,1
ODO1694015869618259,DD0619-100,32,30.6,1.7,1
ODO1694015869618259,DD0619-567,38,28,1,1
ODO1694015869618259,CZ7836-001,33.2,12.8,11.8,1
ODO1694015869618259,DD0619-308,38,28,1,1
ODO1694002398952966,HA5507-100,37.8,13.2,4.4,1
ODO1694002398952966,DX4397-103,32,23.4,12.2,1
ODO1694002398952966,DX4397-103,31.8,23.4,12.2,1
ODO1694002398952966,HA5507-100,37.8,13.2,4.4,1
ODO1694002398952966,DX4397-103,32,23,12,1
TBNK2309088630,DV3956-030,21,13.5,4.8,1
TBNK2309088630,DJ5602-605,33.6,20.6,11.4,1
TBNK2309172834,DD2795-011,28,24,5.2,1
TBNK2309172834,DN2158-101,33.2,20.8,11.4,2
TBNK2309173575,FV2874-690,10.1,6.5,4,1
TBNK2309173575,DA5382-115,23.8,18,9,1
TBNK2309333897,CU6776-010,34,28,2.8,1
TBNK2309333897,FN3430-180,33.2,20.8,15.2,1
TBNK2309333897,CU6776-010,35.5,27.5,2.8,1
TBBN2309072429,DX5411-010,46.6,43.3,4.3,1
TBBN2309072429,DM0972-010,24.2,18.2,9.8,1
TBBN2309072429,943826-001,23.6,16.4,9.2,1
TBBN2309072429,DR1364-451,55,46.5,6.9,1
TBNK2309352352,DX7665-902,24.1,22.1,8.888,1
TBNK2309352352,DV7957-133,35.4,26.8,2,1
TBNK2309352352,DV1741-181,30.4,19.4,10.6,1
ODO1694004409622869,FD2931-126,30,21,0.5,1
ODO1694004409622869,DM9026-600,25,19,9.5,1
ODO1694108569686544,FQ0820-412,28.5,22,0.8,1
ODO1694108569686544,DX0905-309,41,33,1,1
ODO1694108569686544,FB5513-410,38,30,1,1
ODO1694268471849891,DV5304-219,36.6,23.2,4.6,1
ODO1694268471849891,DN1856-002,34.4,20.4,12.6,1
ODO1694268471849891,DV5304-219,36.6,23.2,4.6,1
ODO1694268471849891,DV5304-219,36.6,23.2,4.6,1
ODO1694268471849891,DV5304-219,36.6,23.2,4.6,1
ODO1694276210824251,DH8922-100,27,22.5,2,1
ODO1694276210824251,DH3392-100,32.8,20.6,14.9,1
ODO1694276210824251,DH3392-100,32.8,20.6,14.9,1
ODO1694268169540666,BV2667-063,38,29.4,2.5,1
ODO1694268169540666,DM3493-002,33.5,21.1,11.6,1
ODO1694268169540666,DM3493-002,33.5,21.1,11.6,1
ODO1694268169540666,DM3493-002,33.5,21.1,11.6,1
TBBJ2309021545,DX9656-100,28.5,26.5,8.8,1
TBBJ2309021545,553558-065,31.8,22.8,12,1
TBBJ2309021545,HA5109-023,22.5,13.5,3.5,1
TBBN2309027472,FV3227-010,26,26,1.2,1
TBBN2309027472,DV0575-100,33,24,1.8,1
TBBN2309027472,FV2878-010,10.1,6.9,4.7,1
TBBN2309027472,FV2778-010,11.7,9.1,3.4,1
TBBN2309027472,CJ7863-010,27,23,6.3,1
TBBN2309027472,DA0864-010,26.5,24,4.2,1
TBBN2309027472,FD2931-126,30,21,0.5,1
TBNK2309157798,DV9737-010,50.3,42,7,1
TBNK2309157798,BV2773-010,10.5,7.1,4.5,1
TBNK2309157798,DD0204-001,35,23,12,1
TBNK2309183361,FB5369-010,30,21,0.5,1
TBNK2309183361,DH9765-104,27.8,21.8,10.6,1
TBNK2309330520,DM4625-010,27,18.4,1,1
TBNK2309330520,DN1856-002,32.5,18.8,13,1
TBNK2309330520,DM4625-010,27,18.2,1,1
TBNK2309330520,DM6334-289,39,29.5,1.2,2
ODO1694015751769584,DV1296-010,50,39,4,1
ODO1694015751769584,DV5477-401,33.6,20.6,11.4,1
ODO1694015751769584,DV5477-401,34.4,23.2,12.2,1
ODO1694003574919133,DX3337-010,36,29,2.5,1
ODO1694003574919133,BV1358-003,34.4,23.6,12.4,1
TBBJ2309019047,DX9655-100,57.2,39.1,8.6,1
TBBJ2309019047,CD7069-200,34,24,6,1
TBBJ2309026042,DX9672-010,31,26,2.7,1
TBBJ2309026042,CW0784-107,36,25.4,12.8,1
TBNK2309147790,DD0627-100,30,25,1,1
TBNK2309147790,DD1238-100,36,29,1,1
TBNK2309147790,DD0627-010,30,25,1,2
TBNK2309147790,DC3729-003,30.8,19.8,11.4,1
TBNK2309294578,DV1296-010,50,39,4,1
TBNK2309294578,CW2288-111,33.2,21,11.4,1
TBNK2309343308,FD9267-410,26,13,0.5,1
TBNK2309343308,819352-100,33.8,13.8,12.8,1
TBNK2309343308,819352-001,33.2,12.8,11.8,1
ODO1694009270702375,DH4058-011,29,19.6,5,1
ODO1694009270702375,DQ8423-616,26.5,21,10,1
ODO1694013953553182,DV1296-010,50,39,4,1
ODO1694013953553182,DV5477-401,34.4,23.2,12.2,1
ODO1694013953553182,DV5477-401,34.7,23.4,12.1,1
TBNK2309202631,DV9762-100,35,24,2.5,1
TBNK2309202631,FQ6855-181,35,23,12,1
TBNK2309278912,DD2795-302,30,21,0.5,1
TBNK2309278912,DJ1196-101,31,21.6,11.4,5
ODO1694016950160195,DH8922-010,27,22.5,2,1
ODO1694016950160195,DQ8417-071,34.1,24.2,12.3,1
ODO1694011789825683,DV1296-010,50,39,4,1
ODO1694011789825683,DV1296-010,50,39,4,1
ODO1694011789825683,FB1394-101,30.5,21,11.5,1
ODO1694061170330546,SX7678-010,30,26,4.9,1
ODO1694061170330546,FN3435-148,33.3,20.7,11.3,1
ODO1694021030325215,FQ7009-110,40,29,1,1
ODO1694021030325215,DR2660-001,33.4,20.2,11.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,553560-113,30,21.4,11.6,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694002348262302,HA5507-100,37.8,13.2,4.4,1
ODO1694200009722829,DX6015-100,28,20,2,1
ODO1694200009722829,CK0509-113,27,24,3.2,1
ODO1694200009722829,CK0509-010,28.6,25,3,1
ODO1694200009722829,CK0509-091,27,24,3.2,1
ODO1694200009722829,DR1364-010,31.5,24,1.2,1
ODO1694200009722829,DR1343-100,10.8,7.6,4,1
ODO1694200009722829,DM8186-010,30,20,2.1,1
ODO1694200009722829,819352-001,33.2,12.8,11.8,1
ODO1694262172409451,DX9632-902,51.3,17.2,11.8,1
ODO1694262172409451,FB2269-104,29.7,22.1,12,1
ODO1694262172409451,DX9632-902,51.3,17.2,11.8,1
ODO1694333869445638,DH3827-902,35,31,7.9,1
ODO1694333869445638,DN1857-101,30.4,18.2,11.4,1
TBNK2309332080,DB0490-010,41.5,15,2,1
TBNK2309332080,DM3493-002,33.5,21.1,11.6,5
ODO16940251701998,FB7915-010,25.9,25.1,4,1
ODO16940251701998,DM1814-012,32,26,1.5,1
ODO16940251701998,DX0188-493,39,27.5,3.1,1
ODO16940251701998,DC0496-100,33.2,12.8,11.8,1
ODO16940251701998,FB7920-100,31,25.5,1.3,1
ODO16940251701998,DC0496-100,35.6,15.2,13.2,1
ODO169413791148422,FV3171-200,19.8,13.5,0.8,1
ODO169413791148422,DX5575-001,32.4,16.4,13.2,1
ODO1694186150523481,FV1132-010,35.5,24,1.2,1
ODO1694186150523481,FV3042-247,23,13,4,1
ODO1694269609612963,AR5007-011,37,29,1,1
ODO1694269609612963,DM3493-002,32.5,18.2,12.1,1
ODO1694269609612963,DM3493-002,32.5,18.2,12.1,1
ODO1694269609612963,AR5007-011,37,29,1,1
ODO1694269609612963,DM3493-002,32.5,18.2,12.1,1
ODO1694281309505323,BV2663-479,38,27,4.4,1
ODO1694281309505323,BV2663-479,37.5,27.5,3.8,1
ODO1694281309505323,BV2663-479,37.2,27,4,1
ODO1694281309505323,BV2663-479,37.5,27.5,3.8,1
ODO1694281309505323,BV2663-479,37.2,27,4,1
ODO1694281309505323,DV0834-100,33.4,21,11.4,1
TBBN2309058918,FN3712-479,33.5,27.2,2,1
TBBN2309058918,FJ7236-483,32.2,31.3,2,1
TBBN2309058918,FD0844-416,28,24.9,7.6,1
TBBN2309058918,DM0972-010,24.6,19,9.6,1
TBBN2309058918,FD0928-836,28,25.1,2,1
TBNK2309342091,DB0490-010,41.5,15,2,1
TBNK2309342091,DM3493-002,33.5,21.1,11.6,5
ODO1694010232164520,DA2123-010,25,25,8,1
ODO1694010232164520,DA2123-010,25,25,8,1
ODO1694010232164520,CW2288-001,34,21,12,1
ODO169426361142313,DV5304-219,36.6,23.2,4.6,1
ODO169426361142313,FB9139-002,26.4,20.4,10,1
ODO169426361142313,DV5304-219,36.6,23.2,4.6,1
ODO169426361142313,DV5304-219,36.6,23.2,4.6,1
TBBN2309062009,FD0838-100,10.5,7,3.3,1
TBBN2309062009,FD0845-100,40,30,1,1
TBBN2309062009,819352-010,33.2,12.8,11.8,1
ODO1694010170477904,FQ0707-100,40.4,35.6,5,1
ODO1694010170477904,DM9027-002,30.2,20.7,11.4,1
ODO1694010170477904,FV2625-010,26.8,15.6,6.6,1
TBBN2309024522,DR6091-078,13,10.4,3.8,1
TBBN2309024522,CD9054-200,30.2,20.8,11.2,1
TBNK2309273669,DV7798-237,30,23,1.3,1
TBNK2309273669,BV1094-610,19.6,13.4,8,1
ODO169401035426112,DO2033-658,33,24,1.3,1
ODO169401035426112,FV3301-126,9.4,5.8,4.6,1
ODO1694002422038229,DR6091-078,13,10.4,3.8,1
ODO1694002422038229,DJ6013-104,34.4,23.2,12.2,1
ODO1694002422038229,DR6091-078,13,10.4,3.8,1
ODO1694257249865132,FQ0694-100,36,24,0.9,1
ODO1694257249865132,DC5216-005,33.2,21,11.4,1
TBNK2309342954,FJ2341-010,39.5,30,1,1
TBNK2309342954,DV0829-100,34.6,24,12,1
TBNK2309342954,DV7183-100,33.6,20.6,11.4,1
ODO1694009816597566,DA2123-100,22.5,10,7,1
ODO1694009816597566,DH7161-010,37,28,2.4,1
ODO1694009816597566,DZ3322-001,34.6,24.8,12.6,1
ODO1694013771062764,BV2667-063,39.6,29.2,2.2,1
ODO1694013771062764,DJ6013-104,36.1,23.8,12.6,1
ODO1694025949647745,DV9816-100,38,29.5,0.9,1
ODO1694025949647745,DH0625-301,33.6,20.6,11.4,1
ODO1694025949647745,AR6030-063,39,28,1.4,1
ODO1694025949647745,DV9816-832,26,13,0.5,1
ODO1694025949647745,DV9316-010,38,24,2,1
TBBN2309046191,DV0575-010,34,24,1.3,1
TBBN2309046191,HA6950-100,34.2,22,3.2,1
TBBN2309046191,FV2831-010,35,27,1.1,1
TBBN2309046191,FB4416-100,25.4,18.8,9.8,1
TBBN2309046191,DX4398-106,26.4,20.4,10,1
TBNK2309248881,DD2795-011,27,26,5,1
TBNK2309248881,FB8825-001,34.7,23.4,12.1,1
ODO169400908961852,DH3827-902,32,30,8,1
ODO169400908961852,553560-616,30.8,22.2,11.4,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,553560-113,30,21.4,11.6,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,553560-113,30,21.4,11.6,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,553560-113,30,21.4,11.6,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169400266224171,HA5507-100,37.8,13.2,4.4,1
ODO169423109103240,DV9858-010,38,28,1,1
ODO169423109103240,FB7179-100,34.6,22.9,11.6,1
ODO169423109103240,DV9316-100,29,25,1.5,1
ODO169423109103240,DX0905-077,39.5,34,0.6,1
ODO169423109103240,DH0858-100,35.7,27.2,1.4,1
TBNK2309131394,SX7622-013,27,23,5,1
TBNK2309131394,DN2158-101,33.1,20.8,9.4,3
ODO1694024929706774,DV1296-010,50,39,4,1
ODO1694024929706774,DV0834-101,33.4,21,11.4,1
ODO1694009033597235,DR6091-078,13,10.4,3.8,1
ODO1694009033597235,DV1333-100,31,21.6,11.4,1
TBBN2309018954,FV3154-200,18.9,12.5,3.4,1
TBBN2309018954,DZ4490-001,27.6,22.7,12,1
TBNK2309170773,FQ1981-063,16,11,2,1
TBNK2309170773,DX9012-300,34.7,23.4,12.1,1
TBNK2309147697,DD2795-011,28,24,5.2,1
TBNK2309147697,SX7676-010,29.8,22,10,1
TBNK2309147697,DX0812-010,37,29,3.8,1
TBNK2309147697,BV1358-002,32.1,21.6,15.9,1
TBNK2309147697,CZ6705-014,36,34,2.2,1
TBNK2309131632,DH4058-302,30,23.5,5,1
TBNK2309131632,DV0834-100,33.4,21,11.4,1
TBNK2309131632,DO7393-725,38,30,1.1,1
TBNK2309131632,DX1488-010,39,28,1.6,1
TBNK2309149369,DV9475-100,28,19,4.5,1
TBNK2309149369,DV0833-100,33.51,21.1,11.57,1
TBNK2309263576,DN5241-072,39,29,1,1
TBNK2309263576,DV1403-110,34.8,21.2,12,1
TBNK2309280129,FV1129-100,38,30,1.1,1
TBNK2309280129,DR0455-001,34.4,23.6,12.1,1
TBNK2309280129,FN3712-100,34,26.3,2,1
ODO1694016231662261,BV2667-063,37.5,29.6,2.3,1
ODO1694016231662261,DJ6013-104,36.1,23.8,12.6,1
ODO1694011732511287,DV1296-010,50,39,4,1
ODO1694011732511287,FB1394-101,30.5,21,11.5,1
ODO1694011732511287,DV1296-010,50,39,4,1
ODO1694002744330751,DR6091-078,13,10.4,3.8,1
ODO1694002744330751,DR6091-078,13,10.4,3.8,1
ODO1694002744330751,DR6091-078,13,10.4,3.8,1
ODO1694002744330751,DX4399-106,30.3,22.3,12,1
ODO1694016231090209,DJ3625-011,21,13,1.6,1
ODO1694016231090209,DV3276-103,34.4,23.2,12.2,1
ODO1694016231090209,DN3956-227,32.4,23.4,7.16,1
ODO1694270331640924,DM6620-011,38,31,1.4,1
ODO1694270331640924,DM6620-011,38,31,1.4,1
ODO1694270331640924,DH3392-100,32.8,20.6,14.9,1
ODO169427195014963,AC2286-924,27,12.5,1,1
ODO169427195014963,DJ3624-002,35.2,24.2,13,1
ODO169427195014963,DJ3624-002,35.2,24.2,13,1
TBBN2309024558,AC2285-010,19,12,6,1
TBBN2309024558,BV1094-001,19.6,13.4,8,1
TBBN2309024558,DQ9469-010,29,21,2,1
TBBN2309024558,FB1087-547,31,21,1,1
TBBN2309024558,DM4104-063,22,15.2,4.4,1
TBBN2309024558,DH0351-010,10.6,6.1,6.4,1
TBNK2309337112,BV2667-063,37.5,29.6,2.3,1
TBNK2309337112,FB3354-001,32.5,20.9,14,1
TBNK2309337112,DV0834-100,33.4,21,11.4,1
ODO1694012092744153,SX5854-300,27.5,19.6,8.55,1
ODO1694012092744153,DZ4129-102,35.7,26.1,13.4,1
ODO1694012449753981,FJ7236-483,34.2,31.4,2,1
ODO1694012449753981,819352-802,33.2,12.8,11.8,1
ODO1694012449753981,DX5386-101,52.4,43.8,4.3,1
TBBN2309024295,DX5386-101,46.7,43.6,5.7,1
TBBN2309024295,FV2725-100,26,13,0.5,1
ODO1694020250837701,SP0040-009,29.2,15,1.2,1
ODO1694020250837701,DV1678-002,30,20.6,10.4,1
ODO1694009096996487,DM1814-012,31,24,1.4,1
ODO1694009096996487,DM1814-100,31,24,1.4,1
ODO1694009096996487,DV0921-173,36,26.5,13,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694236370231708,FQ0948-100,23,18,1.2,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694236370231708,DH0858-010,35.7,27.2,1.4,1
ODO1694259169640656,DV0834-100,33.4,21,11.4,1
ODO1694259169640656,BV2667-063,37.5,29.6,2.3,1
ODO1694259169640656,BV2667-063,37.5,29.6,2.3,1
ODO1694344489583141,CQ4298-010,30,20.5,4.5,1
ODO1694344489583141,HA5109-063,22.5,13.5,3.5,1
ODO1694344489583141,CJ7863-010,27,23,6.3,1
ODO1694344489583141,CJ7199-100,27.6,21.8,10.4,1
TBNK2309124630,SX7677-010,31,26,6,1
TBNK2309124630,DD4747-010,39,32,1.5,1
TBNK2309124630,AR5007-100,38,30,1,1
TBNK2309124630,BV2763-063,35,27,2,1
TBNK2309124630,BV2763-010,35,27,2,1
TBNK2309124630,AR4999-013,29,25,2,1
TBNK2309124630,DD8475-003,35.9,24.7,12,1
TBNK2309124630,DV3967-939,26,13.3,6,1
TBBN2309072811,FD0844-100,28.9,25.2,8,1
TBBN2309072811,CK0509-091,27,24,3.2,1
TBBN2309072811,819352-100,33.8,13.8,12.8,1
ODO1694009332564336,HA6950-100,34.2,22,3.2,1
ODO1694009332564336,BQ7197-301,25.4,19.4,9.4,1
ODO1694052771190285,HA6950-100,34.2,22,3.2,1
ODO1694052771190285,DZ4485-100,26.3,21.2,12,1
ODO1694052771190285,DZ4485-100,26.1,20.9,12,1
ODO1694020610992780,DV1296-010,50,39,4,1
ODO1694020610992780,DV0834-100,33.4,21,11.4,1
ODO1694020610992780,DV0788-101,34.3,23.2,11.8,1
ODO1694155549503693,DC3728-003,34.5,23.3,12.3,1
ODO1694155549503693,DV9316-010,38,24,2,1
TBNK2309294567,DV1296-010,50,39,4,1
TBNK2309294567,CW2288-111,33.2,21,11.4,1
TBNK2309339782,SX7625-100,21.2,20,8,1
TBNK2309339782,DV4129-100,31.8,23,12,1
ODO1694268110097495,DM3976-010,51,28,4.4,1
